id,label,path,module,access,document,map,component,source_sha256,api_calls
51,Integrazione OpenAPI,/integrazioni,integrazioni,authenticated,03_PAGINE/51-integrazioni-openapi.md,03_PAGINE/MAPPE_JSON/integrazioni-openapi.json,frontend/src/pages/IntegrazioniOpenAPI.jsx,d4d7450bfc9ef83d4c557e9254854ac9e4e2c9710cbc75382962f970c735a9b1,4
52,Riconciliazione PagoPA,/riconciliazione/pagopa,riconciliazione,authenticated,03_PAGINE/52-integrazioni-pagopa.md,03_PAGINE/MAPPE_JSON/integrazioni-pagopa.json,frontend/src/pages/GestionePagoPA.jsx,7e574f2bd39aa82c6f570faf4ece270837553339fc510d9bd49c755c9afc30cc,5
53,Mittenti Email attendibili,/integrazioni/mittenti-email,integrazioni,authenticated,03_PAGINE/53-integrazioni-mittenti-email.md,03_PAGINE/MAPPE_JSON/integrazioni-mittenti-email.json,frontend/src/pages/MittentiEmail.jsx,c1c3257ff84b5be37c37a60e7dcf1da058f4c5d2f0f2c5a009b3d898f5ff64a5,4
54,Admin sistema,/admin,admin,admin,03_PAGINE/54-admin.md,03_PAGINE/MAPPE_JSON/admin.json,frontend/src/pages/Admin.jsx,0559541ed1a7522e9002a6fe0e4c2e1f9d31338a2727f5c28c7dc4031979a166,36
55,Admin MFA,/admin/mfa,admin,admin,03_PAGINE/55-admin-mfa.md,03_PAGINE/MAPPE_JSON/admin-mfa.json,frontend/src/pages/MFAAdmin.jsx,99a8402c2fdf48d9a1ed4d38cb9e2ca01ca524ae21a7eb5af93856cf9aea9012,5
56,Elaborazioni amministrative,/admin/elaborazioni,admin,admin,03_PAGINE/56-admin-batch-reprocessing.md,03_PAGINE/MAPPE_JSON/admin-batch-reprocessing.json,frontend/src/pages/hub/AdminElaborazioni.jsx,b0bada972ac11ff35e05542839f2f6270a78f517bb6260f26be14073fb6fd90b,3
57,Elaborazioni legacy,/admin/batch-processor,admin,admin,03_PAGINE/57-admin-batch-processor.md,03_PAGINE/MAPPE_JSON/admin-batch-processor.json,frontend/src/pages/hub/AdminElaborazioni.jsx,b0bada972ac11ff35e05542839f2f6270a78f517bb6260f26be14073fb6fd90b,0
58,Utenti,/utenti,admin,admin,03_PAGINE/58-utenti.md,03_PAGINE/MAPPE_JSON/utenti.json,frontend/src/pages/Utenti.jsx,230c7259c97e1c970922803cdfa914a58d1d304ec58ef719f76d381effc22061,4
59,Mappa gestionale,/mappa-gestionale,strumenti,authenticated,03_PAGINE/59-mappa-gestionale.md,03_PAGINE/MAPPE_JSON/mappa-gestionale.json,frontend/src/pages/MappaGestionale.jsx,02ecadfaad3c6f98b9731092b043e712940bd02072c5e1c2aa488f0ae9fa1716,0
60,Gestione IVA,/iva,contabilita,authenticated,03_PAGINE/60-iva.md,03_PAGINE/MAPPE_JSON/iva.json,frontend/src/pages/GestioneIVA.jsx,f2296dc45f6e27a4283198faaf3ab71979e8ac5a25ce3c1b7766a81cdd9c7870,11
61,Verifica fatture estere,/fatture-estere-verifica,fatture,authenticated,03_PAGINE/61-fatture-estere-verifica.md,03_PAGINE/MAPPE_JSON/fatture-estere-verifica.json,frontend/src/pages/FattureEstereVerifica.jsx,e005b8046ecb5a9101b59ac344e02627baf28980089b96aa6784c127d61c8d07,3
62,Dati ISA,/contabilita/dati-isa,contabilita,authenticated,03_PAGINE/62-contabilita-dati-isa.md,03_PAGINE/MAPPE_JSON/contabilita-dati-isa.json,frontend/src/pages/DatiIsa.jsx,5a29d5397d84624a8ff361dbdcf3f802c1d5c86800cdb8939c6ec72a7ca7cb93,2
63,Indice documentale,/documenti/indice,documenti,authenticated,03_PAGINE/63-documenti-indice.md,03_PAGINE/MAPPE_JSON/documenti-indice.json,frontend/src/pages/DocumentIndex.jsx,fdfd086457c78a05995f92ebcf4fe7ed05d1f95bfc44e2aff079263ab5f6ab6a,4
64,Atti amministrativi,/documenti/atti,documenti,authenticated,03_PAGINE/64-documenti-atti.md,03_PAGINE/MAPPE_JSON/documenti-atti.json,frontend/src/pages/AttiAmministrativi.jsx,60582a053732504df225f244ae7d688722f8ed63cf89b78c562c98f754a59458,3
65,Situazione fiscale,/situazione-fiscale,contabilita,authenticated,03_PAGINE/65-situazione-fiscale.md,03_PAGINE/MAPPE_JSON/situazione-fiscale.json,frontend/src/pages/SituazioneFiscale.jsx,f6c76c79acc492e00a6c24035f2e239bbbe2e3d723e3f02883f9f41a039844e0,5
